Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A02001_001	SE_A02001_002	SE_A02001_003	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_A12003_001	SE_A12003_002	SE_A12003_003	SE_A17002_001	SE_A17002_002	SE_A17002_003	SE_A17002_004	SE_A17002_005	SE_A17002_006	SE_A17002_007	SE_A17005_001	SE_A17005_002	SE_A17005_003	SE_A14006_001	SE_A10018_001	SE_A10018_002	SE_A10018_003	SE_A14026_001	SE_A14026_002	SE_A14026_003	SE_A14026_004	SE_A14026_005	SE_A10044_001	SE_A10044_002	SE_A10044_003	SE_A10047_001	SE_A10047_002	SE_A10047_003	SE_A10047_004	SE_A10036_001	SE_A18009_001	SE_A10041_001	SE_A10041_002	SE_A10041_003	SE_A10041_004	SE_A10041_005	SE_A10041_006	SE_A10041_007	SE_A10041_008	SE_B09001_001	SE_B09001_002	SE_B09001_003	SE_B09001_004	SE_B09001_005	SE_B09001_006	SE_B09001_007	SE_B09001_008
"60660613"	"86000US60613"	"60613 ZCTA5"	"60613 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60613"	""	""	""	""	""	""	""	""	""	""	""	""	49519	22761.89	2.17552243485298	49519	24845	24674	49519	2410	1532	1238	570	5731	16593	7994	5108	4072	2132	1314	825	49519	40993	2894	153	2933	7	807	1732	38038	1316	3391	5334	17053	7301	2494	1149	638	6	632	44118	35934	29	35905	34214	1691	8184	35905	34214	1691	73810	26096	676	25420	28573	57528	92137	143392	250001	29186	26096	3090	3090	1022	107	1961	314500	1236	10089	7743	1318	281	1037	49	6376	2346	31388	826	3152	5891	7887	9512	3649	471
"60660614"	"86000US60614"	"60614 ZCTA5"	"60614 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031257"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60614"	""	""	""	""	""	""	""	""	""	""	""	""	69817	22050.96	3.16616563474425	69817	34598	35219	69817	4146	2514	2044	1069	11137	22867	8464	6164	5491	3584	1770	567	69817	59701	2906	39	4485	27	638	2021	48907	1162	2586	4520	23653	10645	4941	1400	3142	0	3142	60637	47789	6	47783	46160	1623	12848	47783	46160	1623	94640	33696	471	33225	35955	73776	120590	200184	250001	36619	33696	2923	2923	558	273	2092	518600	1426	14273	10428	1618	157	1461	55	8755	3845	42559	1639	8062	11416	10624	6535	3271	1012
"60660615"	"86000US60615"	"60615 ZCTA5"	"60615 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60615"	""	""	""	""	""	""	""	""	""	""	""	""	40257	18195.05	2.21252415069105	40257	18956	21301	40257	2256	1810	1786	1406	5583	8188	4909	4586	4096	3144	1833	660	40257	11401	23289	135	3287	0	950	1195	27416	1833	3612	6498	6403	5648	1295	2127	2108	48	2060	33983	21008	0	21008	18676	2332	12975	21008	18676	2332	40587	20281	1343	18938	11069	30019	54345	91593	212546	23418	20281	3137	3137	1652	278	1207	221100	1021	5872	3803	476	114	362	33	3294	2069	17158	1351	4082	3674	3336	2749	1274	692
"60660616"	"86000US60616"	"60616 ZCTA5"	"60616 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60616"	""	""	""	""	""	""	""	""	""	""	""	""	52580	12990.92	4.04744384916069	52580	24955	27625	52580	2526	2236	2482	1579	5749	10781	7066	6821	5888	3907	2500	1045	52580	14539	13408	90	21404	0	1894	1245	38008	6862	8338	7865	8176	4568	1331	868	2505	45	2460	44935	28541	11	28530	25992	2538	16394	28530	25992	2538	42776	23203	1602	21601	14352	30867	58545	96753	181580	25577	23203	2374	2374	864	271	1239	292100	945	7907	5636	751	137	614	31	4854	2271	24418	1934	5557	5219	5505	3957	1584	662
"60660617"	"86000US60617"	"60617 ZCTA5"	"60617 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60617"	""	""	""	""	""	""	""	""	""	""	""	""	80002	5770.23	13.8646125001351	80002	36966	43036	80002	5055	5185	6314	4039	8013	9296	9601	10733	9472	6667	4161	1466	80002	29548	45280	180	90	18	3821	1065	51396	10777	16165	16339	5194	2345	323	253	5238	285	4953	62169	37254	20	37234	29689	7545	24915	37234	29689	7545	37254	27752	2702	25050	14632	29285	46887	77437	128989	33917	27752	6165	6165	473	313	5379	124800	785	16151	9989	1495	497	998	115	8379	6162	28290	1707	4461	3253	6546	5390	5019	1914
"60660618"	"86000US60618"	"60618 ZCTA5"	"60618 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031261"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60618"	""	""	""	""	""	""	""	""	""	""	""	""	95632	18896.13	5.06093117033747	95632	48631	47001	95632	7351	6441	4937	2321	7858	21589	16664	12027	7759	4994	2549	1142	95632	77910	2410	340	5596	100	5977	3299	66724	12135	12706	13384	18107	7908	1770	714	3167	185	2982	76014	55568	37	55531	52363	3168	20446	55531	52363	3168	62102	35533	1222	34311	27740	49225	78316	128611	250001	39507	35533	3974	3974	712	539	2723	335600	1078	15340	11710	2167	599	1568	86	9457	3630	48422	1431	6510	8247	11814	13712	5815	893
"60660619"	"86000US60619"	"60619 ZCTA5"	"60619 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60619"	""	""	""	""	""	""	""	""	""	""	""	""	62822	10434.17	6.02079314653195	62822	27601	35221	62822	4448	3677	3692	2667	6160	7529	7245	8575	9080	4856	3318	1575	62822	835	60772	17	141	16	287	754	42178	5225	12053	15613	5725	2945	352	265	3127	192	2935	49998	29207	0	29207	22959	6248	20791	29207	22959	6248	32024	25789	2750	23039	11422	23795	41510	72972	125272	32375	25789	6586	6586	1691	316	4579	145700	840	10648	7121	802	268	534	83	6236	3527	21109	696	2848	3355	4284	4587	3617	1722
"60660620"	"86000US60620"	"60620 ZCTA5"	"60620 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60620"	""	""	""	""	""	""	""	""	""	""	""	""	69299	9779.003	7.08651005332843	69299	30843	38456	69299	3724	4019	4470	3022	6836	9059	8046	9280	9203	6110	3971	1559	69299	936	66942	246	197	28	129	821	47228	7235	14866	17342	4928	2328	387	142	4010	73	3937	56219	31680	7	31673	24623	7050	24539	31673	24623	7050	32401	25623	2881	22742	13350	25138	41512	70729	121202	30260	25623	4637	4637	1228	612	2797	132300	856	11886	7572	1078	423	655	76	6418	4314	23254	439	2942	3731	5364	5069	4032	1677
"60660621"	"86000US60621"	"60621 ZCTA5"	"60621 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60621"	""	""	""	""	""	""	""	""	""	""	""	""	31383	8416.934	3.72855511299666	31383	13996	17387	31383	2723	2526	2004	1663	3794	4658	3171	3606	3580	1954	1122	582	31383	517	29904	77	70	11	509	295	18673	4374	6455	6393	1044	371	35	1	2090	201	1889	23498	12166	0	12166	8102	4064	11332	12166	8102	4064	20150	11047	2189	8858	8779	15294	26740	47343	91030	16554	11047	5507	5507	1335	959	3213	103000	804	2772	1471	180	89	91	36	1255	1301	7410	342	899	1112	1558	1585	1275	639
"60660622"	"86000US60622"	"60622 ZCTA5"	"60622 ZCTA5"	"us"	"860"	"00"	"ACSSF"	"0031265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"606"	"60622"	""	""	""	""	""	""	""	""	""	""	""	""	54467	22200.27	2.45343878041134	54467	28410	26057	54467	3949	2405	1839	1200	4286	19351	9901	4993	3228	1878	984	453	54467	40528	4318	157	2209	0	5502	1753	40788	4277	4138	6029	16693	6382	2343	926	1555	46	1509	45927	37057	0	37057	35141	1916	8870	37057	35141	1916	79085	23600	934	22666	29802	61448	100932	164091	250001	25659	23600	2059	2059	442	210	1407	427800	1264	8455	6822	1005	215	790	49	5768	1633	32119	1649	6633	7728	7406	5273	2832	598
